Image_name,Card-set,Card_number,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Password,Status,Effect types,Ritual required,Property,Ritual Monster required,Pendulum Scale,Rank,Link Arrows,ATK / LINK,Other names (Japanese),Summoned by the effect of
ANPR-EN060 SP.png,Ancient Prophecy,ANPR-EN060,Short Print,Rekindling,,Spell,,,,,74845897,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
DREV-EN017 C.png,Duelist Revolution,DREV-EN017,Common,Rhinotaurus,,Monster,FIRE,Beast-Warrior / Effect,4.0,1800 / 600,83957459,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous'],,,,,,,,,
GAOV-EN093 C.png,Galactic Overlord,GAOV-EN093,Common,Influence Dragon,,Monster,WIND,Dragon / Tuner,3.0,300 / 900,54936498,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,,,,,
MRL-041 SP.png,Spell Ruler,MRL-041,Short Print,Fairy's Hand Mirror,,Trap,,,,,17653779,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect']",,Normal,,,,,,,
SOI-EN045 C.png,Shadow of Infinity,SOI-EN045,Common,Photon Generator Unit,,Spell,,,,,66607691,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect']",,Quick-Play,,,,,,,
FLOD-EN084 C.png,Flames of Destruction,FLOD-EN084,Common,Revendread Evolution,,Spell,,,,,07986397,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Lingering', 'Condition']",,Ritual,,,,,,,
BODE-EN018 SR.png,Burst of Destiny,BODE-EN018,Super Rare,Destiny HERO - Denier,,Monster,DARK,Warrior / Effect,3.0,1100 / 600,16605586,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition', 'Ignition', 'Condition']",,,,,,,,,
TSHD-EN036 C.png,The Shining Darkness,TSHD-EN036,Common,Key Mouse,,Monster,EARTH,Beast / Tuner,1.0,100 / 100,00135598,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
EXFO-EN093 R.png,Extreme Force,EXFO-EN093,Rare,Steelswarm Origin,,Monster,LIGHT,Fiend / Link / Effect,,,61888819,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Continuous', 'Trigger']",,,,,,"Top-Center,  Bottom-Center",2000 / 2,,
BLVO-EN016 C.png,Blazing Vortex,BLVO-EN016,Common,Windwitch - Blizzard Bell,,Monster,WIND,Spellcaster / Tuner / Effect,5.0,1800 / 1800,84851250,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Quick', 'Condition']",,,,,,,,,
NECH-EN030 C.png,The New Challengers,NECH-EN030,Common,Shaddoll Hound,,Monster,DARK,Spellcaster / Flip / Effect,4.0,1600 / 900,52551211,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Flip', 'Trigger', 'Condition']",,,,,,,,,
MRD-050 C.png,Metal Raiders,MRD-050,Common,Ancient Lizard Warrior,,Monster,EARTH,Reptile,4.0,1400 / 1100,43230671,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
COTD-EN093 C.png,Code of the Duelist,COTD-EN093,Common,Wicked Acolyte Chilam Sabak,,Monster,DARK,Reptile / Effect,8.0,2500 / 0,27103517,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Trigger', 'Condition']",,,,,,,,,
SOFU-EN069 C.png,Soul Fusion,SOFU-EN069,Common,Eternal Galaxy,,Trap,,,,,82162616,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect', 'Condition']",,Normal,,,,,,,
FLOD-EN096 C.png,Flames of Destruction,FLOD-EN096,Common,Inzektor Picofalena,,Monster,DARK,Insect / Link / Effect,,,97273514,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Continuous-like', 'Ignition', 'Condition']",,,,,,"Bottom-Left,  Bottom-Right",1000 / 2,,
GFP2-EN161 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN161,Ultra Rare,Domain of the True Monarchs,,Spell,,,,,84171830,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous-like', 'Continuous-like', 'Ignition-like']",,Field,,,,,,,
PRIO-EN099 C.png,Primal Origin,PRIO-EN099,Common,Hundred-Footed Horror,,Monster,DARK,Insect / Effect,7.0,2600 / 1300,36029076,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Unclassified'],,,,,,,,,
DUEA-EN029 SR.png,Duelist Alliance,DUEA-EN029,Super Rare,"Bi'an, Earth of the Yang Zing",,Monster,EARTH,Wyrm / Effect,3.0,1600 / 0,66500065,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition', 'Quick', 'Unclassified']",,,,,,,,,
EOJ-EN013 R.png,Enemy of Justice,EOJ-EN013,Rare,Harpie's Pet Baby Dragon,,Monster,WIND,Dragon / Effect,4.0,1200 / 600,06924874,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Condition', 'Continuous', 'Continuous', 'Ignition']",,,,,,,,,
LVAL-EN069 SP.png,Legacy of the Valiant,LVAL-EN069,Short Print,Stand-Off,,Spell,,,,,65384188,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
ORCS-EN040 UR.png,Order of Chaos,ORCS-EN040,Ultra Rare,Number C39: Utopia Ray,,Monster,LIGHT,Warrior / Xyz / Effect,,2500 / 2000,56840427,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Ignition', 'Condition']",,,,,4.0,,,,
TDIL-EN075 C.png,The Dark Illusion,TDIL-EN075,Common,Destruction Sword Memories,,Trap,,,,,32104431,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect', 'Quick-like']",,Normal,,,,,,,
ABPF-EN073 SR.png,Absolute Powerforce,ABPF-EN073,Super Rare,Saber Hole,,Trap,,,,,44901281,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect']",,Counter,,,,,,,
DANE-EN006 C.png,Dark Neostorm,DANE-EN006,Common,Dinowrestler Eskrimamenchi,,Monster,EARTH,Dinosaur / Effect,6.0,2200 / 0,48372950,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Trigger', 'Condition']",,,,,,,,,
SECE-EN075 C.png,Secrets of Eternity,SECE-EN075,Common,Zenmaiday,,Trap,,,,,83319610,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick-like', 'Quick-like', 'Condition']",,Continuous,,,,,,,
LOB-087 C.png,Legend of Blue Eyes White Dragon,LOB-087,Common,One-Eyed Shield Dragon,,Monster,WIND,Dragon,3.0,700 / 1300,33064647,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
BLVO-EN067 SR.png,Blazing Vortex,BLVO-EN067,Super Rare,Armed Dragon Thunderbolt,,Trap,,,,,57605303,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Quick-like', 'Condition']",,Normal,,,,,,,
SAST-EN011 C.png,Savage Strike,SAST-EN011,Common,T.G. Tank Grub,,Monster,EARTH,Insect / Tuner / Effect,1.0,0 / 0,74627016,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Trigger', 'Condition']",,,,,,,,,
ETCO-EN024 ScR.png,Eternity Code,ETCO-EN024,Secret Rare,"Girsu, the Orcust Mekk-Knight",,Monster,DARK,Machine / Effect,4.0,1800 / 0,69811710,"['Limited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition', 'Condition']",,,,,,,,,
LON-067 C.png,Labyrinth of Nightmare,LON-067,Common,Spirit of Flames,,Monster,FIRE,Pyro / Effect,4.0,1700 / 1000,13522325,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Summoning condition', 'Summoning condition', 'Continuous']",,,,,,,,,
TSHD-EN020 C.png,The Shining Darkness,TSHD-EN020,Common,Fairy Archer,,Monster,LIGHT,Fairy / Effect,3.0,1400 / 600,48742406,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Condition', 'Condition']",,,,,,,,,
LIOV-EN087 C.png,Lightning Overdrive,LIOV-EN087,Common,War Rock Mammud,,Monster,EARTH,Warrior / Effect,5.0,2000 / 2000,84903021,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Trigger', 'Condition']",,,,,,,,,
TLM-EN012 SR.png,The Lost Millennium,TLM-EN012,Super Rare,Hieracosphinx,,Monster,EARTH,Rock / Effect,6.0,2400 / 1200,82260502,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous'],,,,,,,,,
MFC-083 C.png,Magician's Force,MFC-083,Common,Dark Cat with White Tail,,Monster,EARTH,Beast / Effect,2.0,800 / 500,08634636,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Flip'],,,,,,,,,
CDIP-EN020 C.png,Cyberdark Impact,CDIP-EN020,Common,Barrier Statue of the Inferno,,Monster,FIRE,Pyro / Effect,4.0,1000 / 1000,47961808,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous'],,,,,,,,,
ANPR-EN010 R.png,Ancient Prophecy,ANPR-EN010,Rare,Fortune Lady Light,,Monster,LIGHT,Spellcaster / Effect,1.0,? / ?,34471458,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger', 'Trigger']",,,,,,,,,
SOVR-EN075 C.png,Stardust Overdrive,SOVR-EN075,Common,Gemini Counter,,Trap,,,,,81601517,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Counter,,,,,,,
CSOC-EN030 C.png,Crossroads of Chaos,CSOC-EN030,Common,Zombie Mammoth,,Monster,EARTH,Zombie / Effect,4.0,1900 / 0,43642620,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger']",,,,,,,,,
ORCS-EN098 ScR.png,Order of Chaos,ORCS-EN098,Secret Rare,Wind-Up Arsenal Zenmaioh,,Monster,WIND,Machine / Xyz / Effect,,2600 / 1900,77334267,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,5.0,,,,
IGAS-EN083 C.png,Ignition Assault,IGAS-EN083,Common,Nine-Lives Cat,,Monster,EARTH,Zombie / Xyz / Effect,,900 / 3300,28981598,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Ignition', 'Condition']",,,,,9.0,,,,
LIOV-EN068 C.png,Lightning Overdrive,LIOV-EN068,Common,Screams of the Branded,,Trap,,,,,67100549,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Quick-like', 'Condition']",,Normal,,,,,,,
REDU-EN029 R.png,Return of the Duelist,REDU-EN029,Rare,Geargiarsenal,,Monster,EARTH,Machine / Effect,4.0,1500 / 500,73428497,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Ignition']",,,,,,,,,
GFP2-EN066 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN066,Ultra Rare,Ghostrick Jiangshi,,Monster,DARK,Zombie / Effect,3.0,400 / 1800,80885284,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Ignition', 'Trigger', 'Condition']",,,,,,,,,
EXFO-EN050 R.png,Extreme Force,EXFO-EN050,Rare,Duelittle Chimera,,Monster,FIRE,Beast / Link / Effect,,,37880706,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger', 'Condition']",,,,,,"Bottom-Left,  Bottom-Right",1400 / 2,,
EOJ-EN060 R.png,Enemy of Justice,EOJ-EN060,Rare,Forced Back,,Trap,,,,,43340443,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Counter,,,,,,,
DREV-EN023 R.png,Duelist Revolution,DREV-EN023,Rare,Scrap Golem,,Monster,EARTH,Rock / Effect,5.0,2300 / 1400,82012319,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,,,,,
SHVI-EN056 SR.png,Shining Victories,SHVI-EN056,Super Rare,Digital Bug Rhinosebus,,Monster,LIGHT,Insect / Xyz / Effect,,2600 / 2200,85004150,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Continuous', 'Quick']",,,,,7.0,,,,
ETCO-EN028 UR.png,Eternity Code,ETCO-EN028,Ultra Rare,"Loptr, Shadow of the Generaider Bosses",,Monster,FIRE,Fairy / Effect,4.0,1500 / 1500,94183877,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Continuous', 'Quick', 'Condition']",,,,,,,,,
DANE-EN093 UR.png,Dark Neostorm,DANE-EN093,Ultra Rare,Number XX: Utopic Dark Infinity,,Monster,DARK,Warrior / Xyz / Effect,,4000 / 4000,21858819,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition', 'Condition']",,,,,10.0,,,,
CROS-EN064 C.png,Crossed Souls,CROS-EN064,Common,Pendulum Rising,,Spell,,,,,74926274,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect', 'Condition']",,Normal,,,,,,,
ORCS-EN096 R.png,Order of Chaos,ORCS-EN096,Rare,Dark Flattop,,Monster,DARK,Machine / Synchro / Effect,8.0,0 / 3000,67904682,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Trigger']",,,,,,,,,
SECE-EN032 SR.png,Secrets of Eternity,SECE-EN032,Super Rare,Skilled Blue Magician,,Monster,LIGHT,Spellcaster / Effect,4.0,1800 / 1800,88901771,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Continuous', 'Ignition', 'Ignition']",,,,,,,,,
COTD-EN009 SR.png,Code of the Duelist,COTD-EN009,Super Rare,Gouki Twistcobra,,Monster,EARTH,Warrior / Effect,3.0,1600 / 0,97688360,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick', 'Trigger', 'Condition']",,,,,,,,,
LED8-EN020 C.png,Legendary Duelists: Synchro Storm,LED8-EN020,Common,Speedlift,,Spell,,,,,36730805,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect']",,Quick-Play,,,,,,,
RGBT-EN013 UR.png,Raging Battle,RGBT-EN013,Ultra Rare,Blackwing - Elphin the Raven,,Monster,DARK,Winged Beast / Effect,6.0,2200 / 1200,11613567,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Trigger']",,,,,,,,,
GFP2-EN025 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN025,Ultra Rare,Salamangreat Blaze Dragon,,Monster,FIRE,Cyberse / Xyz / Effect,,2300 / 1200,09608555,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Quick', 'Condition', 'Trigger']",,,,,4.0,,,,
CBLZ-EN042 C.png,Cosmo Blazer,CBLZ-EN042,Common,Leotaur,,Monster,EARTH,Beast-Warrior / Effect,4.0,1500 / 1600,98225108,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous'],,,,,,,,,
RATE-EN002 C.png,Raging Tempest,RATE-EN002,Common,Performapal Handstandaccoon,,Monster,EARTH,Beast / Pendulum / Effect,2.0,400 / 600,81055000,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Pendulum Effect ', 'Ignition-like', 'Condition', 'Monster Effect', 'Trigger']",,,,3.0,,,,,
TDIL-EN082 R.png,The Dark Illusion,TDIL-EN082,Rare,Subterror Nemesis Warrior,,Monster,EARTH,Warrior / Effect,4.0,1800 / 1200,16719140,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick', 'Trigger', 'Condition']",,,,,,,,,
RDS-EN022 C.png,Rise of Destiny,RDS-EN022,Common,Eagle Eye,,Monster,WIND,Winged Beast / Effect,3.0,1300 / 1200,53693416,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous'],,,,,,,,,
EXFO-EN000 C.png,Extreme Force,EXFO-EN000,Common,Yoko-Zuna Sumo Spirit,,Monster,WIND,Warrior / Pendulum / Spirit / Effect,5.0,2400 / 1000,40516623,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Pendulum Effect ', 'Trigger-like', 'Monster Effect', 'Trigger', 'Trigger']",,,,1.0,,,,,
GFP2-EN001 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN001,Ultra Rare,Crystal Beast Rainbow Dragon,,Monster,LIGHT,Dragon / Effect,8.0,3000 / 0,36795102,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Condition', 'Trigger', 'Ignition-like']",,,,,,,,,
GFP2-EN145 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN145,Ultra Rare,Number 97: Draglubion,,Monster,DARK,Dragon / Xyz / Effect,,3000 / 3000,28400508,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Ignition', 'Condition']",,,,,8.0,,,,
EEN-EN010 R.png,Elemental Energy,EEN-EN010,Rare,Chthonian Soldier,,Monster,DARK,Warrior / Effect,4.0,1200 / 1400,50916353,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
DOCS-EN089 C.png,Dimension of Chaos,DOCS-EN089,Common,Kaiju Capture Mission,,Trap,,,,,81057455,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick-like', 'Trigger-like', 'Condition']",,Continuous,,,,,,,
DUEA-EN044 C.png,Duelist Alliance,DUEA-EN044,Common,Re-Cover,,Monster,EARTH,Psychic / Tuner / Effect,1.0,700 / 300,58695102,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Condition']",,,,,,,,,
CSOC-EN070 C.png,Crossroads of Chaos,CSOC-EN070,Common,Doppelganger,,Trap,,,,,66395299,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger-like'],,Continuous,,,,,,,
INOV-EN047 R.png,Invasion: Vengeance,INOV-EN047,Rare,Aromaseraphy Rosemary,,Monster,LIGHT,Plant / Synchro / Effect,5.0,2000 / 900,38148100,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger']",,,,,,,,,
ABYR-EN073 R.png,Abyss Rising,ABYR-EN073,Rare,Abyss-strom,,Trap,,,,,97697447,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect']",,Normal,,,,,,,
CBLZ-EN052 UR.png,Cosmo Blazer,CBLZ-EN052,Ultra Rare,Lightning Chidori,,Monster,WIND,Thunder / Xyz / Effect,,1900 / 1600,22653490,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition']",,,,,4.0,,,,
AST-019 C.png,Ancient Sanctuary,AST-019,Common,KA-2 Des Scissors,,Monster,DARK,Machine / Effect,4.0,1000 / 1000,52768103,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
MACR-EN072 R.png,Maximum Crisis ,MACR-EN072,Rare,Phantasm Spiral Battle,,Trap,,,,,34302287,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect', 'Condition', 'Quick-like']",,Normal,,,,,,,
SAST-EN012 C.png,Savage Strike,SAST-EN012,Common,Guardragon Justicia,,Monster,WATER,Dragon / Tuner / Normal,2.0,0 / 2100,11012154,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
EXFO-EN087 C.png,Extreme Force,EXFO-EN087,Common,F.A. Motorhome Transport,,Monster,LIGHT,Machine / Synchro / Effect,9.0,0 / 3000,75676192,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger', 'Condition', 'Continuous', 'Continuous']",,,,,,,,,
EXFO-EN058 UR.png,Extreme Force,EXFO-EN058,Ultra Rare,Mythical Bestiary,,Spell,,,,,38325384,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect', 'Trigger-like', 'Condition']",,Quick-Play,,,,,,,
SECE-EN098 C.png,Secrets of Eternity,SECE-EN098,Common,Gogogo Talisman,,Spell,,,,,63583431,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous-like', 'Trigger-like']",,Continuous,,,,,,,
DAMA-EN043 C.png,Dawn of Majesty,DAMA-EN043,Common,Gunkan Suship Ikura-class Dreadnought,,Monster,FIRE,Aqua / Xyz / Effect,,2200 / 300,75215744,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition', 'Trigger']",,,,,4.0,,,,
ABYR-EN064 R.png,Abyss Rising,ABYR-EN064,Rare,Mind Pollutant,,Spell,,,,,69257165,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
PHRA-EN072 SR.png,Phantom Rage,PHRA-EN072,Super Rare,Virtual World Gate - Chuche,,Trap,,,,,13364097,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick-like', 'Quick-like', 'Condition']",,Continuous,,,,,,,
CSOC-EN055 C.png,Crossroads of Chaos,CSOC-EN055,Common,Teleport,,Spell,,,,,06795211,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition-like'],,Continuous,,,,,,,
MRL-035 C.png,Spell Ruler,MRL-035,Common,Final Destiny,,Spell,,,,,18591904,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect']",,Normal,,,,,,,
STBL-EN067 R.png,Starstrike Blast,STBL-EN067,Rare,Gravity Collapse,,Trap,,,,,07811875,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Cost', 'Effect']",,Counter,,,,,,,
COTD-EN071 C.png,Code of the Duelist,COTD-EN071,Common,World Legacy Landmark,,Trap,,,,,21254443,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect']",,Normal,,,,,,,
LIOV-EN100 StR.png,Lightning Overdrive,LIOV-EN100,Starlight Rare,Black Rose Dragon,,Monster,FIRE,Dragon / Synchro / Effect,7.0,2400 / 1800,73580471,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition']",,,,,,,,,
TDIL-EN019 SR.png,The Dark Illusion,TDIL-EN019,Super Rare,Magician's Rod,,Monster,DARK,Spellcaster / Effect,3.0,1600 / 100,07084129,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger', 'Condition']",,,,,,,,,
DUEA-EN028 SR.png,Duelist Alliance,DUEA-EN028,Super Rare,"Suanni, Fire of the Yang Zing",,Monster,FIRE,Wyrm / Effect,4.0,1900 / 0,30106950,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition', 'Quick', 'Unclassified']",,,,,,,,,
POTD-EN013 C.png,Power of the Duelist,POTD-EN013,Common,Destiny HERO - Defender,Destiny Hero - Defender,Monster,DARK,Warrior / Effect,4.0,100 / 2700,54749427,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition']",,,,,,,,,
STBL-EN061 R.png,Starstrike Blast,STBL-EN061,Rare,Heat Wave,,Spell,,,,,45141013,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Activation requirement', 'Effect']",,Normal,,,,,,,
ROTD-EN076 UR.png,Rise of the Duelist,ROTD-EN076,Ultra Rare,Shaddoll Schism,,Trap,,,,,21011044,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick-like', 'Condition']",,Continuous,,,,,,,
NECH-EN068 SP.png,The New Challengers,NECH-EN068,Short Print,Cursed Bamboo Sword,,Spell,,,,,42199039,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous-like', 'Ignition-like', 'Condition', 'Trigger-like']",,Equip,,,,,,,
FLOD-EN033 ScR.png,Flames of Destruction,FLOD-EN033,Secret Rare,Ghost Belle & Haunted Mansion,,Monster,EARTH,Zombie / Tuner / Effect,3.0,0 / 1800,73642296,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick', 'Condition']",,,,,,,,,
LED8-EN006 UR.png,Legendary Duelists: Synchro Storm,LED8-EN006,Ultra Rare,Hi-Speedroid Clear Wing Rider,,Monster,WIND,Machine / Synchro / Effect,11.0,3500 / 2000,86154370,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Quick']",,,,,,,,,
CHIM-EN056 C.png,Chaos Impact,CHIM-EN056,Common,Gladiator Beast's Comeback,,Spell,,,,,20201255,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
PHSW-EN060 C.png,Photon Shockwave,PHSW-EN060,Common,One Day of Peace,,Spell,,,,,33782437,"['Limited (OCG)', 'Limited (TCG)']",['Effect'],,Normal,,,,,,,
STBL-EN086 ScR.png,Starstrike Blast,STBL-EN086,Secret Rare,Psi-Blocker,,Monster,WIND,Psychic / Effect,4.0,1200 / 300,29417188,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,,,,,
SOVR-EN045 C.png,Stardust Overdrive,SOVR-EN045,Common,Spider Web,,Spell,,,,,69408987,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous-like', 'Continuous-like']",,Field,,,,,,,
RDS-EN048 C.png,Rise of Destiny,RDS-EN048,Common,Malice Dispersion,,Spell,,,,,13626450,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect']",,Quick-Play,,,,,,,
PRIO-EN068 SP.png,Primal Origin,PRIO-EN068,Short Print,Jackpot 7,,Spell,,,,,81171949,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Trigger-like', 'Condition']",,Normal,,,,,,,
MAGO-EN061 R.png,Maximum Gold,MAGO-EN061,Rare,Number C101: Silent Honor DARK,,Monster,WATER,Aqua / Xyz / Effect,,2800 / 1500,12744567,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Trigger', 'Condition', 'Unclassified']",,,,,5.0,,,,
SHVI-EN037 C.png,Shining Victories,SHVI-EN037,Common,Ryu Okami,,Monster,LIGHT,Wyrm / Effect,8.0,2900 / 1200,63737050,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
CBLZ-EN029 C.png,Cosmo Blazer,CBLZ-EN029,Common,Hazy Flame Griffin,,Monster,FIRE,Winged Beast / Effect,6.0,200 / 2100,74010769,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Continuous']",,,,,,,,,
RGBT-EN058 C.png,Raging Battle,RGBT-EN058,Common,Psychic Path,,Spell,,,,,25401880,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect']",,Normal,,,,,,,
PTDN-EN084 UR.png,Phantom Darkness,PTDN-EN084,Ultra Rare,Allure of Darkness,,Spell,,,,,01475311,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']",['Effect'],,Normal,,,,,,,
ROTD-EN023 C.png,Rise of the Duelist,ROTD-EN023,Common,Capricious Darklord,,Monster,DARK,Fairy / Effect,4.0,0 / 1600,55289183,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick', 'Trigger', 'Condition']",,,,,,,,,
STBL-EN042 UR.png,Starstrike Blast,STBL-EN042,Ultra Rare,Red Nova Dragon,,Monster,DARK,Dragon / Synchro / Effect,12.0,3500 / 3000,97489701,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Continuous', 'Trigger', 'Trigger']",,,,,,,,,
TDIL-EN008 C.png,The Dark Illusion,TDIL-EN008,Common,Performapal Life Swordsman,,Monster,LIGHT,Warrior / Effect,1.0,0 / 0,07268133,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition']",,,,,,,,,
GENF-EN047 C.png,Generation Force,GENF-EN047,Common,Thunder Short,,Spell,,,,,20264508,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
